,Unnamed: 0,player,player_url,rnd,pick,tm,pos,age,college,height_in,weight_lb,height_cm,weight_kg
75,75,Marte Mapu,https://www.pro-football-reference.com/players/M/MapuMa00.htm,3,76,NWE,DB,23.0,Sacramento St.,75.0,230.0,190.0,104.0
76,76,Byron Young,https://www.pro-football-reference.com/players/Y/YounBy01.htm,3,77,LAR,LB,25.0,Tennessee,74.0,250.0,188.0,113.0
77,77,Tucker Kraft,https://www.pro-football-reference.com/players/K/KrafTu00.htm,3,78,GNB,TE,22.0,South Dakota St.,77.0,259.0,196.0,117.0
78,78,Josh Downs,https://www.pro-football-reference.com/players/D/DownJo00.htm,3,79,IND,WR,22.0,North Carolina,70.0,175.0,178.0,79.0
79,79,DJ Johnson,https://www.pro-football-reference.com/players/J/JohnDJ00.htm,3,80,CAR,OLB,24.0,Oregon,76.0,260.0,193.0,117.0
80,80,Tyjae Spears,https://www.pro-football-reference.com/players/S/SpeaTy00.htm,3,81,TEN,RB,22.0,Tulane,70.0,200.0,178.0,90.0
81,81,YaYa Diaby,https://www.pro-football-reference.com/players/D/DiabYa00.htm,3,82,TAM,DL,24.0,Louisville,76.0,270.0,193.0,122.0
82,82,Riley Moss,https://www.pro-football-reference.com/players/M/MossRi00.htm,3,83,DEN,DB,23.0,Iowa,72.0,193.0,183.0,87.0
83,83,De'Von Achane,https://www.pro-football-reference.com/players/A/AchaDe00.htm,3,84,MIA,RB,21.0,Texas A&M,69.0,188.0,175.0,85.0
84,84,Daiyan Henley,https://www.pro-football-reference.com/players/H/HenlDa00.htm,3,85,LAC,LB,23.0,Washington St.,73.0,225.0,185.0,102.0
85,85,Trenton Simpson,https://www.pro-football-reference.com/players/S/SimpTr00.htm,3,86,BAL,LB,22.0,Clemson,74.0,238.0,188.0,107.0
86,86,Ji'Ayir Brown,https://www.pro-football-reference.com/players/B/BrowJi01.htm,3,87,SFO,S,23.0,Penn St.,71.0,202.0,180.0,91.0
87,87,Tank Bigsby,https://www.pro-football-reference.com/players/B/BigsTa00.htm,3,88,JAX,RB,22.0,Auburn,72.0,213.0,183.0,96.0
88,88,Kobie Turner,https://www.pro-football-reference.com/players/T/TurnKo00.htm,3,89,LAR,DT,24.0,Wake Forest,74.0,288.0,188.0,130.0
89,89,DeMarvion Overshown,https://www.pro-football-reference.com/players/O/OverDe00.htm,3,90,DAL,LB,23.0,Texas,74.0,220.0,188.0,99.0
90,90,Dorian Williams,https://www.pro-football-reference.com/players/W/WillDo04.htm,3,91,BUF,LB,22.0,Tulane,74.0,230.0,188.0,104.0
91,91,Wanya Morris,https://www.pro-football-reference.com/players/M/MorrWa01.htm,3,92,KAN,OL,22.0,Oklahoma,78.0,317.0,198.0,143.0
92,92,Darnell Washington,https://www.pro-football-reference.com/players/W/WashDa03.htm,3,93,PIT,TE,22.0,Georgia,79.0,264.0,201.0,119.0
93,93,Michael Wilson,https://www.pro-football-reference.com/players/W/WilsMi02.htm,3,94,ARI,WR,23.0,Stanford,74.0,213.0,188.0,96.0
94,94,Jordan Battle,https://www.pro-football-reference.com/players/B/BattJo00.htm,3,95,CIN,DB,22.0,Alabama,73.0,206.0,185.0,93.0
95,95,Brodric Martin,https://www.pro-football-reference.com/players/M/MartBr00.htm,3,96,DET,DT,24.0,Western Kentucky,77.0,330.0,196.0,149.0
96,96,Ricky Stromberg,https://www.pro-football-reference.com/players/S/StroRi01.htm,3,97,WAS,OL,22.0,Arkansas,76.0,313.0,193.0,141.0
97,97,Siaki Ika,https://www.pro-football-reference.com/players/I/IkaxSi00.htm,3,98,CLE,DL,22.0,Baylor,75.0,335.0,190.0,151.0
98,98,Jake Moody,https://www.pro-football-reference.com/players/M/MoodJa00.htm,3,99,SFO,K,23.0,Michigan,73.0,210.0,185.0,95.0
99,99,Tre Tucker,https://www.pro-football-reference.com/players/T/TuckTr00.htm,3,100,LVR,WR,22.0,Cincinnati,69.0,185.0,175.0,83.0
100,100,Cameron Latu,https://www.pro-football-reference.com/players/L/LatuCa01.htm,3,101,SFO,TE,23.0,Alabama,77.0,244.0,196.0,110.0
101,101,Mekhi Blackmon,https://www.pro-football-reference.com/players/B/BlacMe00.htm,3,102,MIN,CB,24.0,USC,71.0,178.0,180.0,80.0
